X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,outcome
0,289588,3209,191,123,1.6,2.2,5,141211,8,0,0,0,0,0.2,0.4,92.6,205.8,5.4,1578,1640846,90
0,30086,2404,101,107,0.6,2.2,0,61136,1,0,0,0,0,0.6,1,51.4,67,1.3,691,1061008,93
17,684504,4566,555,420,0.4,2.6,2,479811,3,21.2,21.2,0,19.4,12.8,14.2,18.4,98.4,2.2,264,1043224,84
0,516056,2527,254,144,0.2,0.2,12,485338,13,0,0,0,107.58,25.95,26.15,37.72,238.12,2035,81,19,0
0,24691,5241,289,271,0.2,0.2,0,350196,0,0,0,0,0,10.6,12.6,16,51.8,2.4,1295,1377797,87
0,16005,2320,158,172,1,1.6,2,104078,7,0,0,0,0.2,22.6,22.8,72.2,148,2.5,1665,1072854,91
0.8,69029,2103,117,122,5,14.6,0,57987,5,8.2,35.4,59,0.4,8.8,13.6,164.8,342.6,3,129,1076949,82
7.2,458665,2674,251,114,5.4,16.2,38,19089,40,33.2,111.8,221.6,0,48.6,107.2,209.6,408.2,2,134,1102896,72
4.6,171929,5178,257,313,0.6,2,3,653829,6,4.8,4.8,0.6,7.4,16.6,19.4,48.4,235.4,2,203,1005581,79
3.99,391968,5644,436,203,13.97,29.54,1,28302,52,16.17,48.3,110.78,2.79,33.93,39.52,600.4,1138.72,2.8,193,1102157,49
0,9800,5105,283,182,0.2,0.2,2,34917,3,0,0,0,0,0.2,0.2,20.6,20.4,1,608,1076626,88
0,41553,4180,409,294,0.2,0.2,3,69632,5,0,0,0,0,4.19,5.39,22.36,37.72,2.8,545,1093344,87
1.8,9250,397,52,56,0.4,0.4,2,5433,3,1.8,1.8,0,0.8,2.2,3.2,41,42,3.2,173,1704123,95
0,214840,280,41,14,0.8,1,0,16418,1,0,0,0,0,0,0,44.2,66.6,1.2,8348,1864789,97
0,389786,603,114,66,1.8,1.4,0,275961,2,0,0,0,0,2.6,5,80,111,2.4,3573,1821803,90
11.6,276794,2481,219,153,1.4,3,1,210452,5,16.2,16.2,0,9.4,23.2,51.6,193,231.4,3.8,449,1383576,84
2.6,564903,909,374,134,0.2,0.2,18,546743,20,4.2,4.2,0,0.8,6.8,6.8,24.8,46.8,201,93,6,0
0,36285,262,49,13,0.2,0.2,1,9884,1,0,0,0,0,0,0,23.6,16.8,1.8,7914,1869864,98
0,4169,1469,136,65,0.2,0.2,0,32465,0,0,0,0,0,0,0,15.6,16.8,1.2,7728,1871744,95
0,7140,374,76,69,0.2,0.2,3,57194,4,0,0,0,0,0,0,19.76,16.77,1,5907,1859933,97
0,118925,2277,314,133,2.6,3.6,8,40369,20,0,0,0,0,0.2,0.2,173.2,292,2.8,952,1533365,86
2,135994,1168,129,88,0.8,0.6,6,31885,8,2,2,0,0.4,2,2,36.6,47.8,133,94,6,0
0,18141,3645,250,156,0.2,0.2,0,70828,1,0,0,0,1,2.8,4.8,16.4,37.4,2,496,1079114,89
4.18,155848,3909,214,109,2.19,5.38,1,27340,3,10.56,32.47,76.1,0.4,6.97,7.37,135.26,250.2,1.5,179,1023871,85
6.61,39621,1410,88,70,6.21,18.44,54,18546,45,41.68,55.91,148.9,0,50.9,56.71,214.63,454.31,1,153,1106596,77
1.6,134171,1930,113,128,0.2,0.2,0,244514,1,7.8,15.6,36.6,0,5,10,55.8,27.8,2.6,136,1539870,93
0.4,962,262,40,46,0.2,0.2,18,35952,13,0.4,0.4,0,0,0,0,13.17,17.96,1,266,1744447,95
16.8,41990,921,94,65,0.6,1,1,15763,5,37.6,60.6,118,0.2,16.4,17.2,70.8,175.8,1.8,149,1022018,93
0,627,264,42,42,0.2,0.2,41,7520,28,0,0,0,0,0,0,15.6,16.8,1,215,1759640,96
0,4235,802,28,31,0.2,0.2,0,54696,0,0,0,0,0,0,0,15.4,16.8,1,6799,1853384,98
0,416,152,6,12,0.2,0.2,0,9545,0,0,0,0,0,0,0,15.6,16.8,1,7550,1878208,99
0,33604,1056,95,119,0.2,0.2,0,113845,4,0,0,0,0,7.8,10.4,20.8,49.2,2.5,467,1062845,93
0,866968,5552,321,158,2.2,7.4,11,48363,14,0,0,0,0,1.4,2.2,75.6,143.2,1,425,1009667,86
0,136153,2276,170,135,2.79,2.79,7,140940,18,0,0,0,0,0.6,0.6,147.31,202.2,2.2,643,1537186,87
0,2065,184,11,25,0.2,0.2,0,10058,0,0,0,0,0,0,0,15.6,16.8,1,7733,1881032,97
0,159807,3735,239,226,3,1.4,2,115748,14,0,0,0,0,9.8,18.6,144.6,232.4,3.8,3534,1551085,86
3.8,5775,2924,104,146,0.2,0.2,0,45319,1,4,4,0,0.4,0.2,0.2,15.6,16.8,2,252,1708706,94
21.8,549542,3853,311,301,5.4,12.8,0,509948,7,53.4,113.2,234.2,6.6,56.2,100.4,302.2,482.8,5.4,192,997653,64
0,2318,603,52,62,0.2,0.2,0,56100,0,0,0,0,0,0.2,0.4,15.6,17.2,1,483,1730390,97
7.78,187485,1875,115,99,1.6,1.8,11,41084,15,41.92,84.83,110.98,0.6,12.97,23.95,148.7,361.68,2.2,252,1052185,86
0,85105,1752,146,122,0.2,0.2,0,109732,1,0,0,0,0,1.2,1.2,54.2,22.2,2.6,1045,1539776,93
0,68352,194,20,22,0.2,0.2,17,15981,12,0,0,0,0,0,0,15.6,16.8,1,5230,1856600,98
0,17865,259,17,34,0.4,0.4,0,13867,0,0,0,0,0,0,0,40.6,51,1,7188,1874112,98
0,272686,3251,485,403,9.6,4,0,21411,11,0,0,0,0,2.8,4.8,517.8,686.2,1.8,6464,1849030,71
0,234635,3259,198,92,2.2,3.8,12,300332,14,0,0,0,0,0.6,0.6,294.2,232,5,2677,1605075,83
5.79,309122,2685,152,138,0.4,0.4,3,26873,3,26.15,97.41,182.83,0.6,35.93,70.66,31.94,99.8,3.8,133,1702307,87
0,7163,1429,87,67,0.2,0.2,1,24842,1,0,0,0,0,1.6,1.6,15.77,30.74,1.2,1476,1021541,94
0,30574,2371,109,117,1.6,1.6,9,84978,17,0,0,0,0,0.2,0.2,93.8,200.2,2.6,1840,1641224,92
0,253418,1263,197,123,2,3.4,40,116677,68,0,0,0,0,0.8,0.8,138.4,259.6,2.6,3505,1823155,85
3,10408,610,46,43,0.2,0.2,1,28520,1,3.4,3,0,0.6,0.2,0.2,15.6,17.6,1,276,1750955,97
0,117384,3777,198,102,12.4,33.6,5,28568,60,0,0,0,0,12.6,17.8,467.2,848.2,1.6,1086,1107486,58
0,427,192,14,33,0.2,0.2,23,14377,18,0,0,0,0,0,0,15.4,16.8,1,5274,1858256,98
0,4897,1235,172,90,0.4,1.2,0,15753,1,0,0,0,0.6,9,9.2,32.4,49.8,2,1049,1718782,95
0,88105,305,95,22,0.2,0.2,0,14491,0,0,0,0,0,5.21,5.21,13.03,26.25,1.2,1597,1784334,97
1.8,1537,1358,60,55,0.2,0.2,0,3667,0,2,2,0,0.2,0.8,0.8,15.6,16.8,1,257,1752019,97
0.6,93311,4328,151,168,0.2,0.2,61,244826,42,1,1,0,0.4,6.8,7,28.6,55.6,2.6,214,1385874,90
0,328181,3723,305,244,0.8,1.39,2,401702,10,0,0,0,2.59,24.1,32.27,69.32,197.01,2.7,1124,1005014,77
0,9744,1624,113,108,0.6,0.8,0,23072,3,0,0,0,0,0,0,52.6,65.6,2,1172,971102,96
0,279725,3720,278,196,1.4,1.6,2,263781,4,0,0,0,0,5.79,8.18,112.18,343.51,1.3,644,1006441,76
7.2,357583,1912,187,144,3,3.2,5,165363,26,8.4,8.4,0,5,10.4,19.2,157,250.2,2.4,302,1536163,85
0,159752,3782,317,333,4.2,1.6,2,65501,7,0,0,0,0.2,0.4,0.8,207.8,292.2,2.8,4616,1720686,83
0,48696,390,20,27,1,0.8,1,71655,2,0,0,0,0,0,0,52.89,76.85,1.2,7474,1860794,95
0,57597,2009,124,104,3,6.8,1,9936,4,0,0,0,0,0.6,0.6,161.6,222.8,4.2,856,1638418,90
0,238603,2857,282,159,0.4,0.6,4,64868,5,0,0,0,0.2,13,13.8,36.6,143.6,1,427,1108354,87
16.8,3375,2927,140,132,0.2,0.2,0,195292,0,22.4,22.4,0,14,0.8,1,27.6,34.4,2.2,217,1383510,93
0,15674,4903,333,267,0.4,1.8,2,63082,5,0,0,0,0.6,15.17,16.97,25.35,64.87,2.2,3025,1640324,90
3.2,612194,1678,99,69,0.2,0.2,0,17579,1,4.8,4.8,0,0.2,83.2,150,15.6,80.4,4.4,285,1329640,85
0,320857,5408,239,218,0.8,2,1,97794,4,0,0,0,0.2,21.8,30.4,38.2,141.4,3,2889,1643259,89
0,239272,2004,215,160,2.79,3.79,49,161394,82,0,0,0,0,18.96,29.14,189.62,324.55,1,1257,999866,83
0.8,8727,3084,163,183,0.2,0.2,0,40144,7,2.8,16,30,0,15,18.6,15.8,60.2,3,131,1041432,92
4.8,262196,2945,327,214,0.4,0.4,6,54753,6,8.2,14.6,21.2,6,3.4,5.4,32,65.2,1,135,966686,87
5.01,116728,1509,102,88,0.4,0.4,8,71547,9,9.82,9.02,5.61,2.81,5.61,9.62,38.88,51.5,2,152,1087258,92
12.8,201736,2835,275,249,0.2,0.2,47,209106,228,61.8,115.4,130.8,1,35,60.2,15.6,122.8,3,124,1017016,83
0,14481,234,13,15,0.8,0.4,2,11215,4,0,0,0,0,0,0,47.4,63.8,1,6132,1856736,97
0.4,94896,1506,166,98,0.6,1.6,4,16612,5,0.4,6,14,0.8,0.2,0.2,43.4,75,1.7,217,1099789,93
0,45636,1491,50,50,3.58,11.33,0,29872,15,0,0,0,0,6.76,6.96,243.94,352.49,1.5,676,1055254,87
5.4,284485,3902,411,355,15.4,35.4,0,228809,17,15.6,23.6,28.6,0,11.8,13,544.2,1040.6,1,373,1079026,56
3.2,141332,5337,234,146,6.4,18,63,43164,67,3.4,3.4,0,1.8,64.8,69.2,491.2,601.6,5.6,316,1543805,68
0,191157,995,110,74,1.4,0.6,1,15389,3,0,0,0,0,1.8,1.8,76.2,127.4,1,497,1012941,95
0,1607,156,9,13,0.2,0.2,0,19294,1,0,0,0,0,0,0,17.2,17.8,1.4,8844,1872466,97
0,23609,320,21,77,0.6,1,3,116219,6,0,0,0,0,0,0,41,53,2,6521,1705557,97
2.4,507057,5633,306,187,2.6,8,13,151253,34,2.8,2.8,0,1.8,4.4,6.4,172.6,376.6,5.4,414,1314480,74
0,137766,1739,225,194,4.2,1.4,0,8145,5,0,0,0,0,0.2,0.4,211.8,308,1.2,7278,1875016,89
3,41732,1379,99,90,0.4,0.4,13,84195,23,7,7,0,1.2,3.6,4.2,33.8,46.2,2.4,213,1719302,96
0,46972,2261,193,123,0.4,0.4,4,154058,5,0,0,0,0,2,3.8,31.2,39.6,1.4,8466,1882056,92
2.81,72536,768,93,78,0.2,0.2,0,30522,1,3.01,3.01,0,0,1.8,2.4,15.63,56.51,1,146,1059721,94
2.34,357653,5190,350,132,1.37,3.13,15,44662,29,3.13,2.54,0,4.49,7.62,49.41,108.01,244.73,1.7,597,1176309,78
0,253784,2757,162,108,1.2,5.99,2,229457,4,0,0,0,0,2.2,2.4,152.89,120.96,4.2,1624,1613467,89
9.4,582061,7054,594,351,4,4.8,197,265288,196,19,30.2,38.6,0.4,11,32,185.6,336.8,5.2,170,1339541,74
13.8,1322699,3502,574,195,3.4,6.6,3,41747,8,26.4,51.4,108,10.8,5.2,6.6,266.8,409,2.8,146,1095131,78
0,32785,180,16,21,0.2,0.2,0,24624,0,0,0,0,0,3.4,6.6,15.4,19.2,1,5323,1859947,97
0,1943,544,55,62,0.2,0.2,0,19308,1,0,0,0,0.2,0.4,0.4,20.2,18.6,400,97,3,0
0,7467,166,11,11,0.2,0.2,1,6028,1,0,0,0,0,0,0,14.31,12.92,1,4811,1816638,97
0,50178,2633,150,135,1,1,84,113357,58,0,0,0,0,11.4,13.6,71.6,108,1.5,668,1055989,87
0,70587,4137,227,161,7.62,18.64,2,30229,39,0,0,0,0.4,13.83,15.23,253.71,480.36,2.7,357,1096063,74
0,2422,214,30,32,0.2,0.2,0,6393,1,0,0,0,0,0.2,0.2,17.37,20.96,2,489,1738949,93
4.6,145826,1422,140,94,1,1.2,6,29424,12,22.2,43.8,74.2,1.6,6.4,27.6,75,175.8,1,185,983597,91
0,1536,881,42,24,0.2,0.2,0,7161,0,0,0,0,0,0,0,15.6,17,1.6,1210,1753160,88
0,139644,5646,966,814,4.6,1.4,1,30990,6,0,0,0,0,0,0,219.4,320,2.8,864,1721136,75
0,50246,3856,250,177,1.2,2.4,15,29854,17,0,0,0,0.2,12.2,12.2,100.8,131.8,2,767,1017691,86
12.57,262309,6430,361,267,1.8,3.39,0,187326,11,46.71,94.01,154.49,3.39,61.88,72.06,135.93,282.83,2.2,133,989712,83
0,10004,254,11,22,0.2,0.2,1,67114,2,0,0,0,0,0.2,0.2,15.63,17.23,1,7493,1869185,98
0,178179,2693,334,112,0.2,0.2,0,173468,0,0,0,0,0,1.6,2.8,15.6,23.8,3.6,1317,1731365,93
1.4,88712,3202,283,234,3,3,1,58154,5,1.4,15.6,27,0.8,31.8,32.2,165,320.4,3,164,1108459,84
4.8,492142,3806,258,166,1.4,1.4,77,268706,62,19.4,44,79.2,2.2,7.6,12.2,68,218.8,5.2,256,1314590,85
4.99,1029143,2421,581,170,2.2,3.79,2,278592,4,22.36,48.7,120.96,0.4,2,2.4,324.75,215.77,1.3,163,1111235,80
1,147331,3953,340,251,0.6,1.8,0,103576,3,2,2,0,0,7.21,8.02,84.77,280.96,325,79,21,0
0,221992,1686,107,67,1.4,2.6,23,21091,35,0,0,0,0,0.4,0.6,94.6,151,1,1874,1008506,93
0,110663,2210,116,80,0.2,0.2,65,103760,48,0,0,0,0,1.6,2.79,15.57,24.55,3.2,1439,1728436,91
0.2,129287,1145,108,59,0.8,0.8,0,17061,2,0.2,0.2,0,0.2,15.83,28.46,56.11,71.94,3.8,356,1058657,90
0,191330,1212,86,67,4.6,3.4,1,105806,14,0,0,0,0,7.8,8.2,195.6,335.6,4.2,1253,1544406,89
0,273594,3003,447,383,9,2.8,0,10059,10,0,0,0,0,0,0,460,649.2,3.4,8659,1865656,79
0,81449,3426,275,269,3.2,1,0,18478,5,0,0,0,0,0.2,0.2,162,236.8,3.4,844,1720685,84
0,437,156,14,17,0.2,0.2,0,3379,0,0,0,0,0,0,0,15.6,16.8,1,8497,1866062,98
0,77008,366,36,20,1.8,1.8,1,24462,3,0,0,0,0,2.6,3.6,176.4,152,1.2,7985,1868448,90
3.01,522596,3302,238,139,3.01,4.41,1,56297,19,4.61,9.22,19.24,2.61,19.24,31.06,167.54,317.64,389,84,16,0
3.8,265344,2527,138,89,0.8,3.4,52,41496,39,5,5,0,2.2,26.2,37.6,63.4,104.8,1.3,677,1057779,90
0,291336,313,66,41,0.2,0.2,1,266985,1,0,0,0,0,2.4,4.8,16,16.8,2.4,4121,1827112,92
0,21262,200,31,21,0.2,0.2,0,5539,0,0,0,0,0,0,0,15.6,17,1,6934,1845040,98
4,205882,2049,146,111,1,1.2,0,27620,1,4.6,4.6,0,3.8,3,3.2,91.4,134.2,1,208,1017088,90
11.4,369317,4553,630,444,7.2,5.8,8,58485,14,29.2,54,99.8,7,5.2,5.2,399,674.4,2.2,208,1010824,69
0,197760,2669,188,168,3.6,9.2,2,233386,18,0,0,0,0.4,20.4,40.4,129,263.6,4.2,920,1632099,83
0.2,75457,2127,175,173,2.6,3,13,39145,26,0.4,0.8,1.2,0,1.4,1.4,178.6,376,1.5,428,1065411,86
0.8,100081,1694,239,118,0.8,0.4,5,43076,12,1,1,0,0.4,4.2,4.2,86.8,119.8,3.6,336,1060800,87
0,285750,196,41,22,0.2,0.2,1,259748,1,0,0,0,0,0,0,15.2,17.4,3.2,3656,1820056,98
0,81499,3824,267,239,2.19,1.99,2,454394,4,0,0,0,0,9.96,9.96,136.45,283.86,1,508,1000888,75
0,128585,3154,148,89,6.81,20.44,0,37322,8,0,0,0,8.02,1,1,253.51,510.42,3.4,465,1083872,72
0,308390,246,47,27,0.4,1.2,48,286630,33,0,0,0,0,0,0,21.2,31.8,2.8,5617,1835560,96
0,275966,3509,193,127,0.8,0.8,0,47129,8,0,0,0,1.8,5.8,30,90,177.4,359,86,13,0
0,118152,2170,101,79,1.2,1.2,1,67852,6,0,0,0,0,0,0,159.8,111.4,2.6,2011,1642163,94
0,11362,2075,135,79,0.2,0.2,16,23344,17,0,0,0,0,1.2,1.2,88.42,17.76,1,1113,1081611,90
0,255852,664,145,57,0.2,0.2,12,192501,12,0,0,0,0,1.2,1.2,15.6,18,2.2,1349,1745746,95
7.2,192880,2255,343,257,5.4,4.6,144,52201,124,57.2,118.6,245.6,0,34,52.2,211.4,470,1,143,1047304,77
0,456,173,17,20,0.2,0.2,0,4817,0,0,0,0,0,0,0,13,16.8,1,7306,1863872,98
0,190506,5420,560,450,6.59,1.8,1,64355,16,0,0,0,0,0,0,317.76,465.67,3.8,2525,1640078,78
3.6,96987,1244,95,91,1.2,2,2,79947,6,4.4,4.4,0,0,0.4,0.4,71.8,99,2.2,220,1537019,93
1.8,366751,3680,481,367,6.2,2.2,1,96530,16,11.4,23,35.6,0,8.2,9,319.8,518,3,174,1533642,76
0,47274,889,35,27,1.2,5.2,2,23119,7,0,0,0,0,0.2,0.2,90.6,119.6,2,483,1532344,95
0.8,19246,2967,185,126,0.4,0.6,0,50729,0,1.4,1.2,0,0.2,2,2,31.2,42.4,1.4,244,1127214,91
6.2,505897,5480,444,349,1.2,1.2,1,531224,3,14.6,18.8,11.8,0,42.6,84.4,129.4,169.2,1.2,505,1219461,71
0.6,141684,7167,520,381,3.79,2.59,1,51961,8,0.6,0.6,0,0.2,0,0,183.23,302.59,1.6,165,1063446,77
0,271043,1926,417,175,0.2,0.6,3,264934,5,0,0,0,0,16.37,16.37,33.13,60.28,4.2,2412,1574105,89
0,195110,1529,175,101,0.2,0.2,4,67620,5,0,0,0,0,5.4,5.4,15.6,32.4,1,2061,1072275,92
6.8,46740,2384,293,225,0.6,0.6,0,160397,3,11.6,11.2,0,0.4,1.4,2.6,62.2,54.8,1,311,1069066,87
0,202152,2887,294,209,2.6,0.8,1,40571,8,0,0,0,0,1.6,1.6,134,191.6,2.4,1021,1539986,87
0,7281,719,60,60,0.2,0.2,0,19696,0,0,0,0,0,0.2,0.2,17.96,23.55,1,1124,1060267,97
0,23160,533,107,78,0.2,0.2,0,120134,0,0,0,0,0,1.6,1.6,15.63,20.84,1.8,1723,1770424,88
1.6,108337,795,71,48,0.2,0.2,0,25139,1,3.41,4.61,3.41,0.4,0.6,0.6,15.63,16.83,1.2,130,1745911,97
0,2222,1292,88,70,0.2,0.2,0,10137,0,0,0,0,0,0,0,15.4,16.8,2,2104,1720376,95
7.01,303675,3124,386,348,7.62,5.81,4,195796,23,13.83,32.67,43.69,1.6,14.23,28.46,226.05,390.58,3,152,1045831,78
1.8,89842,408,47,29,0.2,0.2,0,6208,0,1.8,1.8,0,0.8,0,0,15.6,23.2,1,143,1749658,96
0,38828,697,89,79,1.8,0.6,0,2388,2,0,0,0,0,0,0,89.6,125,1,6622,1873187,94
4.8,67028,4537,212,205,0.4,0.2,0,254584,0,10,9.4,0,2.6,5.8,7.2,17.8,90.6,1.4,298,1013290,88
0.8,215885,1137,148,109,0.4,1.8,0,100630,2,0.8,6,12.2,4,0.6,1.2,32.6,44.2,2.4,162,1522802,95
0,10830,306,51,59,0.2,0.2,0,12360,1,0,0,0,0,0.8,1,15.4,16.8,2,361,1745200,94
0,143010,2301,180,77,7.4,24.4,0,16978,10,0,0,0,0.2,5.2,5.2,272.8,511.4,1.8,264,1089357,74
0,14453,264,20,29,0.2,0.2,1,57715,2,0,0,0,0,0,0,17.56,16.97,1,6870,1854566,98
4,131422,3931,274,200,2.4,0.8,1,116356,4,6.4,8.2,4.2,0.4,1,1.4,135,207.4,1.8,205,1009333,84
0,51954,528,74,66,2,2,0,33545,2,0,0,0,0,3.6,5.2,169.6,154.6,1.4,2924,1780082,82
0,395767,2025,135,85,0.6,0.8,0,76084,0,0,0,0,0.2,29.74,29.74,52.5,117.96,2,742,1012610,91
2.4,38701,2150,153,121,6.19,16.77,203,18975,188,2.4,2.4,0,0.2,9.38,13.57,221.16,382.63,1,174,1101199,78
0,191891,1016,130,50,0.2,0.2,0,24969,1,0,0,0,0,2.2,3.8,15.6,17.6,2,3427,1710080,95
3,112567,4242,259,174,0.8,3,0,75288,1,4,4,0,1.8,3.4,4.4,32,57.2,1,248,1117925,88
0,249104,2755,385,340,7.82,2.2,28,74852,28,0,0,0,0,0,0,372.75,548.3,2,7525,1868382,78
0,124355,503,44,31,2.79,2.79,0,51038,3,0,0,0,0,4.39,7.58,254.69,255.29,2.4,2331,1815754,82
0,23241,1185,70,63,0.4,1.8,1,32553,2,0,0,0,0.8,0.4,0.6,33.2,43.8,2,377,1533190,95
0,4035,1318,108,95,0.4,0.8,0,43515,2,0,0,0,0,0.8,0.8,29,46.6,2.2,1046,973795,93
9.82,21354,2877,207,136,1.4,2.61,3,73178,5,16.83,12.83,0,1.2,0.8,0.8,90.98,124.25,1,188,995708,90
0,44731,1758,109,72,0.2,0.2,60,20281,44,0,0,0,0,1.8,1.8,15.8,36.4,1.2,949,975736,93
